time_control,end_time,rated,time_class,white_username,white_rating,white_result,black_username,black_rating,black_result,black_accuracy,white_accuracy
180,2024-01-05,True,blitz,Prizant_academy,2991,repetition,Hikaru,3245,repetition,91.42,90.89
180,2024-01-05,True,blitz,Hikaru,3248,win,Prizant_academy,2988,resigned,68.46,68.61
180,2024-01-05,True,blitz,Prizant_academy,3001,win,Hikaru,3235,checkmated,78.38,82.12
180,2024-01-05,True,blitz,Hikaru,3238,win,Prizant_academy,2998,timeout,86.25,87.4
180,2024-01-05,True,blitz,Prizant_academy,2995,resigned,Hikaru,3241,win,92.29,88.37
180,2024-01-05,True,blitz,Hikaru,3243,win,Bagrat1on,2908,resigned,82.43,93.98
180,2024-01-05,True,blitz,Bagrat1on,2906,timeout,Hikaru,3245,win,74.41,76.86
180,2024-01-05,True,blitz,Hikaru,3247,win,Bagrat1on,2904,resigned,60.09,80.03
180,2024-01-05,True,blitz,Bagrat1on,2902,resigned,Hikaru,3249,win,93.23,85.64
180,2024-01-05,True,blitz,Hikaru,3251,win,Bagrat1on,2900,resigned,80.54,88.18
180,2024-01-05,True,blitz,Bagrat1on,2898,resigned,Hikaru,3253,win,87.96,80.22
180,2024-01-05,True,blitz,Hikaru,3255,win,Bagrat1on,2896,resigned,82.62,89.45
180,2024-01-05,True,blitz,Bagrat1on,2894,checkmated,Hikaru,3257,win,88.29,76.72
180,2024-01-05,True,blitz,Hikaru,3258,win,Tactrics,2848,checkmated,82.35,87.41
180,2024-01-05,True,blitz,Bagrat1on,2892,resigned,Hikaru,3260,win,88.65,83.28
180,2024-01-05,True,blitz,Hikaru,3262,win,Bagrat1on,2890,timeout,79.32,83.64
180,2024-01-05,True,blitz,Bagrat1on,2888,checkmated,Hikaru,3264,win,91.71,81.27
180,2024-01-05,True,blitz,Hikaru,3266,win,Bagrat1on,2886,resigned,86.05,91.48
180,2024-01-05,True,blitz,Bagrat1on,2884,checkmated,Hikaru,3268,win,89.44,81.05
180,2024-01-05,True,blitz,Hikaru,3270,win,Bagrat1on,2882,resigned,83.91,88.84
180,2024-01-05,True,blitz,alexrustemov,2904,timeout,Hikaru,3272,win,84.01,80.03
180,2024-01-05,True,blitz,Hikaru,3274,win,alexrustemov,2902,timeout,81.45,87.0
180,2024-01-05,True,blitz,alexrustemov,2900,resigned,Hikaru,3276,win,93.13,83.46
180,2024-01-05,True,blitz,Hikaru,3278,win,alexrustemov,2898,resigned,85.62,93.07
180,2024-01-05,True,blitz,Nanakorobi_yaoki,2789,resigned,Hikaru,3279,win,81.41,69.95
180,2024-01-05,True,blitz,Hikaru,3272,insufficient,Nanakorobi_yaoki,2796,insufficient,80.21,80.48
180,2024-01-05,True,blitz,artin10862,2973,resigned,Hikaru,3274,win,93.64,86.46
180,2024-01-05,True,blitz,Hikaru,3276,win,artin10862,2971,resigned,73.28,82.14
180,2024-01-05,True,blitz,artin10862,2969,resigned,Hikaru,3278,win,86.78,78.69
180,2024-01-05,True,blitz,Hikaru,3264,resigned,artin10862,2983,win,90.88,82.54
180,2024-01-05,True,blitz,artin10862,2980,resigned,Hikaru,3267,win,92.95,85.45
180,2024-01-05,True,blitz,Hikaru,3270,win,artin10862,2977,resigned,84.14,92.13
180,2024-01-05,True,blitz,artin10862,2974,resigned,Hikaru,3273,win,83.18,79.61
180,2024-01-05,True,blitz,Hikaru,3275,win,artin10862,2972,resigned,76.77,82.0
180,2024-01-06,True,blitz,JeRoma71,2939,timevsinsufficient,Hikaru,3269,timevsinsufficient,74.41,75.16
180,2024-01-06,True,blitz,JNWDUBDGBE,2877,resigned,Hikaru,3271,win,80.15,70.57
180,2024-01-06,True,blitz,Hikaru,3273,win,JNWDUBDGBE,2875,resigned,83.07,93.03
180,2024-01-06,True,blitz,JNWDUBDGBE,2874,resigned,Hikaru,3274,win,82.21,76.94
180,2024-01-06,True,blitz,Hikaru,3267,insufficient,JNWDUBDGBE,2881,insufficient,85.68,86.11
180,2024-01-06,True,blitz,JNWDUBDGBE,2879,resigned,Hikaru,3269,win,86.73,78.21
180,2024-01-06,True,blitz,Hikaru,3271,win,JNWDUBDGBE,2877,resigned,72.89,98.53
180,2024-01-06,True,blitz,JNWDUBDGBE,2875,resigned,Hikaru,3273,win,88.41,78.23
180,2024-01-06,True,blitz,Hikaru,3274,win,JNWDUBDGBE,2874,resigned,82.57,90.87
180,2024-01-06,True,blitz,JNWDUBDGBE,2873,resigned,Hikaru,3275,win,88.87,80.91
180,2024-01-06,True,blitz,Hikaru,3260,checkmated,JNWDUBDGBE,2888,win,80.47,72.04
180,2024-01-06,True,blitz,JNWDUBDGBE,2894,repetition,Hikaru,3254,repetition,97.58,95.67
180,2024-01-06,True,blitz,Hikaru,3256,win,JNWDUBDGBE,2892,timeout,91.77,93.62
180,2024-01-06,True,blitz,JNWDUBDGBE,2890,resigned,Hikaru,3258,win,92.93,86.91
180,2024-01-06,True,blitz,Hikaru,3260,win,JNWDUBDGBE,2888,resigned,86.57,86.1
60,2024-01-06,True,bullet,Orest_Vovk,2461,resigned,Hikaru,3261,win,82.02,71.07
60,2024-01-06,True,bullet,Hikaru,3261,win,pasteta13,2599,resigned,84.49,94.23
60,2024-01-06,True,bullet,Hikaru,3249,resigned,MatthewG-p4p,3067,win,86.05,74.71
60,2024-01-06,True,bullet,ArchibaldCerveza29,2535,resigned,Hikaru,3249,win,90.99,79.13
60,2024-01-06,True,bullet,Hikaru,3249,win,GMForgacs,2448,resigned,78.42,85.48
60,2024-01-06,True,bullet,Hikaru,3250,win,ymflb8hj43890rfjiwo93i,2661,resigned,77.91,89.73
60,2024-01-06,True,bullet,Witik,2562,resigned,Hikaru,3250,win,87.31,80.72
60,2024-01-06,True,bullet,vi_pranav,3005,checkmated,Hikaru,3253,win,86.22,79.9
60,2024-01-06,True,bullet,Hikaru,3254,win,aa175,2734,timeout,81.25,85.52
60,2024-01-06,True,bullet,Hikaru,3260,win,LyonBeast,3142,resigned,86.01,92.08
60,2024-01-06,True,bullet,Jospem,3144,repetition,Hikaru,3257,repetition,99.17,99.13
60,2024-01-06,True,bullet,FaustinoOro,2885,resigned,Hikaru,3259,win,90.06,80.6
60,2024-01-06,True,bullet,Hikaru,3264,win,AnishGiri,3134,resigned,82.47,88.63
60,2024-01-06,True,bullet,Hikaru,3253,resigned,Jospem,3161,win,85.78,78.89
60,2024-01-06,True,bullet,Oleksandr_Bortnyk,3253,win,Hikaru,3245,resigned,73.66,77.7
60,2024-01-06,True,bullet,TRadjabov,3020,repetition,Hikaru,3240,repetition,90.32,89.82
60,2024-01-06,True,bullet,Hikaru,3246,win,Msb2,3128,resigned,82.77,91.66
60,2024-01-06,True,bullet,Larina_Maria,2076,checkmated,Hikaru,3246,win,87.82,72.01
60,2024-01-06,True,bullet,Hikaru,3246,timevsinsufficient,Oleksandr_Bortnyk,3261,timevsinsufficient,85.2,85.34
60,2024-01-06,True,bullet,Hikaru,3242,repetition,HansOnTwitch,3077,repetition,85.3,85.54
